sim_id,x_min,x_max,y_min,y_max,f_min,f_max,description
20180820-1,90,130,80,120,1900,2900,pivot(20180806-1)
20180820-2,73,113,115,155,1300,2300,shift(20180809-6)
20180820-3,47,87,99,139,1300,2200,drift(20180816-6)
20180820-4,67,107,79,119,100,900,jump(20180817-6)
20180820-4,134,174,65,105,1000,2800,jump(20180817-6)
